Area / Tank,Category,Equipment,Tag No,Parameter Key,Parameter Display Name,Unit,Proposed Normal Limit,Proposed Warning Limit,Proposed Alarm Limit,Final Normal Limit,Final Warning Limit,Final Alarm Limit,Approved By,Reviewed By User Department,Approval Date,Remarks
A Tank,Blowers,Chimney Blower-3,,blower_de_temperature,Blower DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Chimney Blower-3,,blower_drive_end_axial,Blower Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Chimney Blower-3,,blower_drive_end_horizontal,Blower Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Chimney Blower-3,,blower_drive_end_vertical,Blower Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Chimney Blower-3,,blower_nde_temperature,Blower NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Chimney Blower-3,,blower_non_drive_end_axial,Blower Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Chimney Blower-3,,blower_non_drive_end_horizontal,Blower Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Chimney Blower-3,,blower_non_drive_end_vertical,Blower Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Chimney Blower-3,,motor_de_temperature,Motor DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Chimney Blower-3,,motor_drive_end_axial,Motor Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Chimney Blower-3,,motor_drive_end_horizontal,Motor Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Chimney Blower-3,,motor_drive_end_vertical,Motor Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Chimney Blower-3,,motor_nde_temperature,Motor NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Chimney Blower-3,,motor_non_drive_end_axial,Motor Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Chimney Blower-3,,motor_non_drive_end_horizontal,Motor Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Chimney Blower-3,,motor_non_drive_end_vertical,Motor Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Chimney Blower-4,,blower_de_temperature,Blower DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Chimney Blower-4,,blower_drive_end_axial,Blower Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Chimney Blower-4,,blower_drive_end_horizontal,Blower Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Chimney Blower-4,,blower_drive_end_vertical,Blower Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Chimney Blower-4,,blower_nde_temperature,Blower NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Chimney Blower-4,,blower_non_drive_end_axial,Blower Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Chimney Blower-4,,blower_non_drive_end_horizontal,Blower Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Chimney Blower-4,,blower_non_drive_end_vertical,Blower Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Chimney Blower-4,,motor_de_temperature,Motor DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Chimney Blower-4,,motor_drive_end_axial,Motor Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Chimney Blower-4,,motor_drive_end_horizontal,Motor Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Chimney Blower-4,,motor_drive_end_vertical,Motor Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Chimney Blower-4,,motor_nde_temperature,Motor NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Chimney Blower-4,,motor_non_drive_end_axial,Motor Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Chimney Blower-4,,motor_non_drive_end_horizontal,Motor Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Chimney Blower-4,,motor_non_drive_end_vertical,Motor Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
