Category,Equipment,Parameter_Key,Parameter_Display_Name,Unit,Normal_Limit,Warning_Limit,Data_Source,Approved_By,Approval_Date,Notes
Blowers,MCB-1,vertical_vibration,Vertical Vibration,mm/s,,,,,,
Blowers,MCB-1,horizontal_vibration,Horizontal Vibration,mm/s,,,,,,
Blowers,MCB-1,axial_vibration,Axial Vibration,mm/s,,,,,,
Blowers,MCB-1,temperature,Temperature,deg C,,,,,,
Blowers,MCB-1,current,Current,A,,,,,,
Blowers,MCB-1,voltage,Voltage,V,,,,,,
Blowers,MCB-2,vertical_vibration,Vertical Vibration,mm/s,,,,,,
Blowers,MCB-2,horizontal_vibration,Horizontal Vibration,mm/s,,,,,,
Blowers,MCB-2,axial_vibration,Axial Vibration,mm/s,,,,,,
Blowers,MCB-2,temperature,Temperature,deg C,,,,,,
Blowers,MCB-2,current,Current,A,,,,,,
Blowers,MCB-2,voltage,Voltage,V,,,,,,
Blowers,MCB-3,vertical_vibration,Vertical Vibration,mm/s,,,,,,
Blowers,MCB-3,horizontal_vibration,Horizontal Vibration,mm/s,,,,,,
Blowers,MCB-3,axial_vibration,Axial Vibration,mm/s,,,,,,
Blowers,MCB-3,temperature,Temperature,deg C,,,,,,
Blowers,MCB-3,current,Current,A,,,,,,
Blowers,MCB-3,voltage,Voltage,V,,,,,,
Blowers,Gas Blower-1,vertical_vibration,Vertical Vibration,mm/s,,,,,,
Blowers,Gas Blower-1,horizontal_vibration,Horizontal Vibration,mm/s,,,,,,
Blowers,Gas Blower-1,temperature,Temperature,deg C,,,,,,
Blowers,Gas Blower-1,current,Current,A,,,,,,
Blowers,Gas Blower-2,vertical_vibration,Vertical Vibration,mm/s,,,,,,
Blowers,Gas Blower-2,horizontal_vibration,Horizontal Vibration,mm/s,,,,,,
Blowers,Gas Blower-2,temperature,Temperature,deg C,,,,,,
Blowers,Gas Blower-2,current,Current,A,,,,,,
Blowers,Chimney Blower,vertical_vibration,Vertical Vibration,mm/s,,,,,,
Blowers,Chimney Blower,horizontal_vibration,Horizontal Vibration,mm/s,,,,,,
Blowers,Chimney Blower,temperature,Temperature,deg C,,,,,,
Blowers,Chimney Blower,current,Current,A,,,,,,
Blowers,Tank Cooling Blower,vertical_vibration,Vertical Vibration,mm/s,,,,,,
Blowers,Tank Cooling Blower,horizontal_vibration,Horizontal Vibration,mm/s,,,,,,
Blowers,Tank Cooling Blower,temperature,Temperature,deg C,,,,,,
Blowers,Tank Cooling Blower,current,Current,A,,,,,,
Blowers,Cooling Blower,vertical_vibration,Vertical Vibration,mm/s,,,,,,
Blowers,Cooling Blower,horizontal_vibration,Horizontal Vibration,mm/s,,,,,,
Blowers,Cooling Blower,temperature,Temperature,deg C,,,,,,
Blowers,Cooling Blower,current,Current,A,,,,,,
Blowers,Throat Cooling Blower,vertical_vibration,Vertical Vibration,mm/s,,,,,,
Blowers,Throat Cooling Blower,horizontal_vibration,Horizontal Vibration,mm/s,,,,,,
Blowers,Throat Cooling Blower,temperature,Temperature,deg C,,,,,,
Blowers,Throat Cooling Blower,current,Current,A,,,,,,
DM Water Electrode Cooling,G Tank Electrode Cooling,temperature,Temperature,deg C,,,,,,
DM Water Electrode Cooling,G Tank Electrode Cooling,current,Current,A,,,,,,
DM Water Electrode Cooling,G Tank Electrode Cooling,voltage,Voltage,V,,,,,,
DM Water Electrode Cooling,K Tank Electrode Cooling,temperature,Temperature,deg C,,,,,,
DM Water Electrode Cooling,K Tank Electrode Cooling,current,Current,A,,,,,,
DM Water Electrode Cooling,K Tank Electrode Cooling,voltage,Voltage,V,,,,,,
DM Water Electrode Cooling,E Tank Electrode Cooling,temperature,Temperature,deg C,,,,,,
DM Water Electrode Cooling,E Tank Electrode Cooling,current,Current,A,,,,,,
DM Water Electrode Cooling,E Tank Electrode Cooling,voltage,Voltage,V,,,,,,
DM Water Electrode Cooling,K & E Tank Batch Charger,temperature,Temperature,deg C,,,,,,
DM Water Electrode Cooling,K & E Tank Batch Charger,current,Current,A,,,,,,
DM Water Electrode Cooling,K & E Tank Batch Charger,voltage,Voltage,V,,,,,,
Cooling Tower Water Monitoring,Compressor House CT,water_temperature,Water Temperature,deg C,,,,,,
Cooling Tower Water Monitoring,Compressor House CT,tds,TDS,ppm,,,,,,
Cooling Tower Water Monitoring,Compressor House CT,ph,pH,pH,,,,,,
Cooling Tower Water Monitoring,G Tank CT,water_temperature,Water Temperature,deg C,,,,,,
Cooling Tower Water Monitoring,G Tank CT,tds,TDS,ppm,,,,,,
Cooling Tower Water Monitoring,G Tank CT,ph,pH,pH,,,,,,
Cooling Tower Water Monitoring,A Tank CT,water_temperature,Water Temperature,deg C,,,,,,
Cooling Tower Water Monitoring,A Tank CT,tds,TDS,ppm,,,,,,
Cooling Tower Water Monitoring,A Tank CT,ph,pH,pH,,,,,,
Utility Area Monitoring,Screw Compressor,vertical_vibration,Vertical Vibration,mm/s,,,,,,
Utility Area Monitoring,Screw Compressor,horizontal_vibration,Horizontal Vibration,mm/s,,,,,,
Utility Area Monitoring,Screw Compressor,axial_vibration,Axial Vibration,mm/s,,,,,,
Utility Area Monitoring,Screw Compressor,temperature,Temperature,deg C,,,,,,
Utility Area Monitoring,Screw Compressor,current,Current,A,,,,,,
Utility Area Monitoring,Centrifugal Compressor,vertical_vibration,Vertical Vibration,mm/s,,,,,,
Utility Area Monitoring,Centrifugal Compressor,horizontal_vibration,Horizontal Vibration,mm/s,,,,,,
Utility Area Monitoring,Centrifugal Compressor,temperature,Temperature,deg C,,,,,,
Utility Area Monitoring,Centrifugal Compressor,current,Current,A,,,,,,
Utility Area Monitoring,Air Dryer,temperature,Temperature,deg C,,,,,,
Utility Area Monitoring,Air Dryer,pressure,Pressure,bar,,,,,,
Utility Area Monitoring,Cooling Tower Pump,vertical_vibration,Vertical Vibration,mm/s,,,,,,
Utility Area Monitoring,Cooling Tower Pump,horizontal_vibration,Horizontal Vibration,mm/s,,,,,,
Utility Area Monitoring,Cooling Tower Pump,temperature,Temperature,deg C,,,,,,
Utility Area Monitoring,Cooling Tower,water_temperature,Water Temperature,deg C,,,,,,
Utility Area Monitoring,Cooling Tower,tds,TDS,ppm,,,,,,
Utility Area Monitoring,Cooling Tower,ph,pH,pH,,,,,,
Utility Area Monitoring,Oil Air Receiver,pressure,Pressure,bar,,,,,,
Utility Area Monitoring,Oil Air Receiver,temperature,Temperature,deg C,,,,,,
Utility Area Monitoring,Utility Area Receiver,pressure,Pressure,bar,,,,,,
Utility Area Monitoring,Utility Area Receiver,temperature,Temperature,deg C,,,,,,
Utility Area Monitoring,G Tank Air Receiver,pressure,Pressure,bar,,,,,,
Utility Area Monitoring,G Tank Air Receiver,temperature,Temperature,deg C,,,,,,
Utility Area Monitoring,DG Set,temperature,Temperature,deg C,,,,,,
Utility Area Monitoring,DG Set,current,Current,A,,,,,,
Utility Area Monitoring,DG Set,voltage,Voltage,V,,,,,,
